Code_UIC;Libelle_point_arret;train;RER;tram;bus;A;B;C;D;E;H;J;K;L;N;P;R;U;T4;TER
87682138;BOUSSY SAINT-ANTOINE;;1;;;;;;1;;;;;;;;;;;
87276063;CERNAY;1;1;;;;;1;;;1;;;;;;;;;
87276162;CHAPONVAL;1;;;;;;;;;1;;;;;;;;;
87381194;CHARS;1;;;;;;;;;;1;;;;;;;;
87116350;CHAUFFRY;;;;1;;;;;;;;;;;1;;;;
87116012;GRETZ ARMAINVILLIERS;1;1;;;;;;;1;;;;;;1;;;;
87393561;IGNY;;1;;;;;1;;;;;;;;;;;;
87681411;MENNECY;;1;;;;;;1;;;;;;;;;;;
87682278;MORET VENEUX LES SABLONS;1;;;;;;;;;;;;;;;1;;;
87758763;FONTAINE MICHALON;;1;;;;1;;;;;;;;;;;;;
87381095;LE STADE;1;;;;;;;;;;1;;;;;;;;
87681155;MAISONS ALFORT ALFORTVILLE;;1;;;;;;1;;;;;;;;;;;
87116368;SAINT-SIMEON;;;;1;;;;;;;;;;;1;;;;
87381186;SANTEUIL LE PERCHAY;1;;;;;;;;;;1;;;;;;;;
87276444;BORAN SUR OISE;1;;;;;;;;;1;;;;;;;;;
87545178;BOURAY;;1;;;;;1;;;;;;;;;;;;
87113894;FREINVILLE SEVRAN (T4);;;1;;;;;;;;;;;;;;;1;
87113514;GAGNY;;1;;;;;;;1;;;;;;;;;;
87276196;GARGES SARCELLES;;1;;;;;;1;;;;;;;;;;;
87382432;LA CELLE SAINT-CLOUD;1;;;;;;;;;;;;1;;;;;;
87758748;LA CROIX DE BERNY;;1;;;;1;;;;;;;;;;;;;
87116517;LA FERTE SOUS JOUARRE;1;;;;;;;;;;;;;;1;;;;
87116244;MORTCERF;1;;;;;;;;;;;;;;1;;;;
87001479;AEROPORT CHARLES DE GAULLE 2 TGV - Roissy;;1;;;;1;;;;;;;;;;;;;
87276113;CHANTILLY GOUVIEUX;;1;;;;;;1;;;;;;;;;;;
87394007;CHARTRES;1;;;;;;;;;;;;;;;;;;1
87545475;EGLY;;1;;;;;1;;;;;;;;;;;;
