stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8727141,"AULNAY SOUS BOIS",,48.931967,2.495058,,,1,
StopArea:DUA8743179,"ROUGEMONT CHANTELOUP",,48.930733,2.515534,,,1,
StopArea:DUA8711389,"FREINVILLE SEVRAN",,48.927062,2.519784,,,1,
StopArea:DUA8711388,"L'ABBAYE",,48.92217,2.516734,,,1,
StopArea:DUA8798871,"Lycée Henry Sellier",,48.916466,2.515033,,,1,
StopArea:DUA8711386,"GARGAN",,48.908289,2.517299,,,1,
StopArea:DUA8711385,"LES PAVILLONS SOUS BOIS",,48.902253,2.510144,,,1,
StopArea:DUA8711387,"ALLEE DE LA TOUR RENDEZ-VOUS",,48.896719,2.506013,,,1,
StopArea:DUA8711384,"LES COQUETIERS",,48.89269,2.499844,,,1,
StopArea:DUA8798870,"REMISE A JORELLE",,48.893329,2.487754,,,1,
StopArea:DUA8711340,"BONDY",,48.894672,2.478922,,,1,
StopArea:DUA8727114,"EPINAY SUR SEINE",,48.954989,2.301693,,,1,
StopArea:DUA8769730,"GARE D'EPINAY VILLETANEUSE",,48.959354,2.328299,,,1,
StopArea:DUA59900,"UNIVERSITE - PARIS 13",,48.958743,2.340919,,,1,
StopArea:DUA8727116,"PIERREFITTE STAINS",,48.963437,2.371138,,,1,
StopArea:DUA8769733,"GARE DE STAINS LA CERISAIE",,48.954614,2.392267,,,1,
StopArea:DUA8769734,"GARE DE DUGNY - LA COURNEUVE",,48.94377,2.412086,,,1,
StopArea:DUA8727139,"LE BOURGET",,48.93111,2.426007,,,1,
StopArea:DUA8738400,"PARIS SAINT-LAZARE",,48.875441,2.325217,,,1,
StopArea:DUA8738111,"PONT CARDINET",,48.88744,2.316062,,,1,
StopArea:DUA8738112,"CLICHY LEVALLOIS",,48.896532,2.2978,,,1,
StopArea:DUA8738113,"ASNIERES SUR SEINE",,48.906413,2.284494,,,1,
StopArea:DUA8738200,"BECON LES BRUYERES",,48.904125,2.268987,,,1,
StopArea:DUA8738630,"LES VALLEES",,48.913637,2.257326,,,1,
StopArea:DUA8738600,"LA GARENNE COLOMBES",,48.909493,2.237965,,,1,
StopArea:DUA8738631,"NANTERRE UNIVERSITE",,48.901003,2.214253,,,1,
StopArea:DUA8738640,"GARE DE HOUILLES CARRIERES SUR SEINE",,48.919681,2.185562,,,1,
StopArea:DUA8738641,"SARTROUVILLE",,48.937841,2.158554,,,1,
StopArea:DUA8738642,"MAISONS LAFFITTE",,48.945678,2.144397,,,1,
StopArea:DUA8738165,"ACHERES VILLE",,48.969944,2.077125,,,1,
StopArea:DUA8738145,"GARE DE CONFLANS FIN D'OISE",,48.989027,2.074917,,,1,
StopArea:DUA8733448,"NEUVILLE UNIVERSITE",,49.01473,2.079566,,,1,
StopArea:DUA8738190,"CERGY PREFECTURE",,49.036147,2.080629,,,1,
StopArea:DUA8738249,"CERGY SAINT-CHRISTOPHE",,49.049792,2.034415,,,1,
StopArea:DUA8738265,"CERGY LE HAUT",,49.047688,2.010762,,,1,
StopArea:DUA8738220,"COURBEVOIE",,48.897805,2.247688,,,1,
StopArea:DUA8738221,"LA DEFENSE GRANDE ARCHE",,48.891571,2.238972,,,1,
StopArea:DUA8738238,"PUTEAUX",,48.883314,2.233343,,,1,
StopArea:DUA8738237,"SURESNES MONT VALERIEN",,48.871269,2.222163,,,1,
StopArea:DUA8738236,"LE VAL D'OR",,48.858243,2.21402,,,1,
StopArea:DUA8738235,"SAINT-CLOUD",,48.845347,2.217985,,,1,
StopArea:DUA8738225,"GARCHES MARNES LA COQUETTE",,48.839176,2.186136,,,1,
StopArea:DUA8738226,"VAUCRESSON",,48.837115,2.152816,,,1,
StopArea:DUA8738243,"LA CELLE SAINT-CLOUD",,48.843084,2.136504,,,1,
StopArea:DUA8738244,"BOUGIVAL",,48.854247,2.131622,,,1,
StopArea:DUA8738245,"LOUVECIENNES",,48.861011,2.123056,,,1,
StopArea:DUA8738246,"MARLY LE ROI",,48.871428,2.097049,,,1,
StopArea:DUA8738247,"L'ETANG LA VILLE",,48.868064,2.076719,,,1,
StopArea:DUA8738248,"SAINT-NOM LA BRETECHE FORET DE MARLY",,48.86732,2.050843,,,1,
StopArea:DUA8738234,"SEVRES VILLE D'AVRAY",,48.826777,2.200226,,,1,
StopArea:DUA8738233,"CHAVILLE RIVE DROITE",,48.812198,2.187545,,,1,
StopArea:DUA8738288,"GARE DE VIROFLAY RIVE DROITE",,48.80524,2.168856,,,1,
StopArea:DUA8738287,"MONTREUIL",,48.806754,2.151291,,,1,
StopArea:DUA8738286,"VERSAILLES RIVE DROITE",,48.809519,2.13439,,,1,
StopArea:DUA8738280,"SAINT-GERMAIN EN LAYE GRANDE CEINTURE",,48.903205,2.072971,,,1,
StopArea:DUA8736692,"SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX",,48.895554,2.070637,,,1,
StopArea:DUA8738281,"MAREIL MARLY",,48.881505,2.079489,,,1,
StopArea:DUA8739387,"NOISY LE ROI",,48.841779,2.061731,,,1,
StopArea:DUA8738657,"POISSY",,48.933164,2.0407,,,1,
StopArea:DUA8738605,"ACHERES GRAND CORMIER",,48.955294,2.09278,,,1,
StopArea:DUA8739300,"VERSAILLES CHANTIERS",,48.796249,2.135835,,,1,
StopArea:DUA8739322,"SAINT-CYR",,48.799448,2.072123,,,1,
StopArea:DUA8739384,"SAINT-QUENTIN EN YVELINES",,48.787704,2.044944,,,1,
StopArea:DUA8739383,"TRAPPES",,48.77472,2.006216,,,1,
StopArea:DUA8739325,"LA VERRIERE",,48.755385,1.943285,,,1,
StopArea:DUA8739327,"COIGNIERES",,48.743691,1.920999,,,1,
StopArea:DUA8739328,"LES ESSARTS LE ROI",,48.721699,1.890333,,,1,
StopArea:DUA8739329,"LE PERRAY",,48.693433,1.856686,,,1,
StopArea:DUA8739331,"RAMBOUILLET",,48.643426,1.832049,,,1,
StopArea:DUA8768603,"PARIS GARE DE LYON",,48.84476,2.373191,,,1,
StopArea:DUA8768200,"MELUN",,48.527286,2.654881,,,1,
StopArea:DUA8768220,"BOIS LE ROI",,48.475137,2.692057,,,1,
StopArea:DUA8768221,"FONTAINEBLEAU AVON",,48.415814,2.726539,,,1,
StopArea:DUA8768227,"MORET VENEUX LES SABLONS",,48.377931,2.798599,,,1,
StopArea:DUA8768229,"SAINT-MAMMES",,48.382579,2.813293,,,1,
StopArea:DUA8768230,"MONTEREAU",,48.379963,2.943403,,,1,
StopArea:DUA8768310,"VILLENEUVE LA GUYARD",,48.343269,3.069688,,,1,
StopArea:DUA8768312,"CHAMPIGNY SUR YONNE",,48.324052,3.13114,,,1,
StopArea:DUA8768313,"PONT SUR YONNE",,48.286391,3.201894,,,1,
StopArea:DUA8768300,"SENS",,48.198417,3.26732,,,1,
StopArea:DUA8768320,"ETIGNY VERON",,48.137611,3.289742,,,1,
StopArea:DUA8768321,"VILLENEUVE SUR YONNE",,48.085184,3.286257,,,1,
StopArea:DUA8768322,"SAINT-JULIEN DU SAULT",,48.026687,3.302565,,,1,
StopArea:DUA8768324,"JOIGNY",,47.97343,3.392865,,,1,
StopArea:DUA8768326,"LAROCHE MIGENNES",,47.961118,3.514336,,,1,
StopArea:DUA8768225,"THOMERY",,48.394308,2.764028,,,1,
StopArea:DUA8768410,"MONTIGNY SUR LOING",,48.336312,2.738544,,,1,
StopArea:DUA8768411,"BOURRON MARLOTTE GREZ",,48.332889,2.692429,,,1,
StopArea:DUA8768412,"NEMOURS SAINT-PIERRE",,48.267883,2.685681,,,1,
StopArea:DUA8768419,"BAGNEAUX SUR LOING",,48.230053,2.703526,,,1,
StopArea:DUA8768421,"SOUPPES CHATEAU LANDON",,48.181604,2.735577,,,1,
StopArea:DUA8768423,"DORDIVES",,48.147218,2.762728,,,1,
StopArea:DUA8768424,"FERRIERES FONTENAY",,48.100858,2.773714,,,1,
StopArea:DUA8768400,"MONTARGIS",,48.007032,2.743038,,,1,
StopArea:DUA8768182,"VILLENEUVE SAINT-GEORGES",,48.730261,2.446881,,,1,
StopArea:DUA8768210,"MONTGERON CROSNE",,48.707961,2.462465,,,1,
StopArea:DUA8768213,"BOUSSY SAINT-ANTOINE",,48.680987,2.533021,,,1,
StopArea:DUA8768214,"COMBS LA VILLE QUINCY",,48.667625,2.548086,,,1,
StopArea:DUA8768211,"YERRES",,48.706894,2.483313,,,1,
StopArea:DUA8768212,"BRUNOY",,48.699351,2.505957,,,1,
StopArea:DUA8768215,"LIEUSAINT MOISSY",,48.628547,2.569069,,,1,
StopArea:DUA8768218,"SAVIGNY LE TEMPLE NANDY",,48.595824,2.584331,,,1,
StopArea:DUA8768216,"CESSON",,48.565094,2.593873,,,1,
StopArea:DUA8768217,"LE MEE",,48.540059,2.62415,,,1,
StopArea:DUA8768240,"LIVRY SUR SEINE",,48.510301,2.679295,,,1,
StopArea:DUA8768241,"CHARTRETTES",,48.48699,2.694851,,,1,
StopArea:DUA8768242,"FONTAINE LE PORT",,48.48709,2.751198,,,1,
StopArea:DUA8768243,"HERICY",,48.443336,2.759856,,,1,
StopArea:DUA8768244,"VULAINES SUR SEINE SAMOREAU",,48.430971,2.753178,,,1,
StopArea:DUA8768245,"CHAMPAGNE SUR SEINE",,48.406406,2.799194,,,1,
StopArea:DUA8768246,"GARE DE VERNOU SUR SEINE",,48.386515,2.842008,,,1,
StopArea:DUA8768247,"LA GRANDE PAROISSE",,48.379068,2.897153,,,1,
StopArea:DUA8760880,"CRETEIL POMPADOUR",,48.77271,2.435438,,,1,
StopArea:DUA8768115,"MAISONS ALFORT ALFORTVILLE",,48.801517,2.427294,,,1,
StopArea:DUA8738189,"CONFLANS SAINTE-HONORINE",,48.997098,2.096877,,,1,
StopArea:DUA8738148,"MAURECOURT",,48.988257,2.060277,,,1,
StopArea:DUA8738149,"ANDRESY",,48.975054,2.049889,,,1,
StopArea:DUA8738147,"CHANTELOUP LES VIGNES",,48.970533,2.027795,,,1,
StopArea:DUA8738180,"TRIEL SUR SEINE",,48.981138,2.00552,,,1,
